1890,6,6,Cooking - All Facilities,1,1
1891,6,6,Cooking - All Facilities,1,1
1892,6,6,Cooking - All Facilities,1,1
1893,6,6,Cooking - All Facilities,1,1
1894,6,6,Cooking - All Facilities,1,1
1895,6,6,Cooking - All Facilities,1,1
1896,6,6,Cooking - All Facilities,1,1
1897,6,6,Cooking - All Facilities,1,1
1898,6,6,Cooking - All Facilities,1,1
1899,6,6,Cooking - All Facilities,1,1
1900,6,6,Cooking - All Facilities,1,1
1901,6,6,Cooking - All Facilities,1,1
1902,6,6,Cooking - All Facilities,1,1
1903,6,6,Cooking - All Facilities,1,1
1904,6,6,Cooking - All Facilities,1,1
1905,6,6,Cooking - All Facilities,1,1
1906,6,6,Cooking - All Facilities,1,1
1907,6,6,Cooking - All Facilities,1,1
1908,6,6,Cooking - All Facilities,1,1
1909,6,6,Cooking - All Facilities,1,1
1910,6,6,Cooking - All Facilities,1,1
1911,6,6,Cooking - All Facilities,1,1
1912,6,6,Cooking - All Facilities,1,1
1913,6,6,Cooking - All Facilities,1,1
1914,6,6,Cooking - All Facilities,1,1
1915,6,6,Cooking - All Facilities,1,1
1916,6,6,Cooking - All Facilities,1,1
1917,6,6,Cooking - All Facilities,1,1
1918,6,6,Cooking - All Facilities,1,1
1919,6,6,Cooking - All Facilities,1,1
1920,6,6,Cooking - All Facilities,1,1
1921,6,6,Cooking - All Facilities,1,1
1922,6,6,Cooking - All Facilities,1,1
1923,6,6,Cooking - All Facilities,1,1
1924,6,6,Cooking - All Facilities,1,1
1925,6,6,Cooking - All Facilities,1,1
1926,6,6,Cooking - All Facilities,1,1
1927,6,6,Cooking - All Facilities,1,1
1928,6,6,Cooking - All Facilities,1,1
1929,6,6,Cooking - All Facilities,1,1
1930,6,6,Cooking - All Facilities,1,1
1931,5,5,Non-Cook - Non-cook at home,6,1
1932,6,6,Cooking - All Facilities,1,1
1933,6,6,Cooking - All Facilities,1,1
1934,6,6,Cooking - All Facilities,1,1
1935,6,6,Cooking - All Facilities,1,1
1936,6,6,Cooking - All Facilities,1,1
1937,6,6,Cooking - All Facilities,1,1
1938,6,6,Cooking - All Facilities,1,1
1939,6,6,Cooking - All Facilities,1,1
1940,6,6,Cooking - All Facilities,1,1
1941,6,6,Cooking - All Facilities,1,1
1942,6,6,Cooking - All Facilities,1,1
1943,6,6,Cooking - All Facilities,1,1
1944,6,6,Cooking - All Facilities,1,1
1945,6,6,Cooking - All Facilities,1,1
1946,5,5,Non-Cook - Non-cook at home,6,1
1947,6,6,Cooking - All Facilities,1,1
1948,6,6,Cooking - All Facilities,1,1
1949,6,6,Cooking - All Facilities,1,1
1950,6,6,Cooking - All Facilities,1,1
1951,6,6,Cooking - All Facilities,1,1
1952,6,6,Cooking - All Facilities,1,1
1953,6,6,Cooking - All Facilities,1,1
1954,6,6,Cooking - All Facilities,1,1
1955,6,6,Cooking - All Facilities,1,1
1956,6,6,Cooking - All Facilities,1,1
1957,6,6,Cooking - All Facilities,1,1
1958,5,5,Non-Cook - Non-cook at home,6,1
1959,6,6,Cooking - All Facilities,1,1
1960,6,6,Cooking - All Facilities,1,1
1961,6,6,Cooking - All Facilities,1,1
1962,6,6,Cooking - All Facilities,1,1
1963,6,6,Cooking - All Facilities,1,1
1964,6,6,Cooking - All Facilities,1,1
1965,6,6,Cooking - All Facilities,1,1
1966,6,6,Cooking - All Facilities,1,1
1967,6,6,Cooking - All Facilities,1,1
1968,6,6,Cooking - All Facilities,1,1
1969,6,6,Cooking - All Facilities,1,1
1970,6,6,Cooking - All Facilities,1,1
1971,6,6,Cooking - All Facilities,1,1
1972,6,6,Cooking - All Facilities,1,1
1973,6,6,Cooking - All Facilities,1,1
1974,6,6,Cooking - All Facilities,1,1
1975,6,6,Cooking - All Facilities,1,1
1976,6,6,Cooking - All Facilities,1,1
1977,6,6,Cooking - All Facilities,1,1
1978,6,6,Cooking - All Facilities,1,1
1979,6,6,Cooking - All Facilities,1,1
1980,6,6,Cooking - All Facilities,1,1
1981,6,6,Cooking - All Facilities,1,1
1982,6,6,Cooking - All Facilities,1,1
1983,5,5,Non-Cook - Non-cook at home,6,1
1984,6,6,Cooking - All Facilities,1,1
1985,6,6,Cooking - All Facilities,1,1
1986,6,6,Cooking - All Facilities,1,1
1987,6,6,Cooking - All Facilities,1,1
1988,6,6,Cooking - All Facilities,1,1
1989,6,6,Cooking - All Facilities,1,1
1990,6,6,Cooking - All Facilities,1,1
1991,6,6,Cooking - All Facilities,1,1
1992,6,6,Cooking - All Facilities,1,1
1993,4,4,Non-Cook - NFA,5,1
1994,6,6,Cooking - All Facilities,1,1
1995,6,6,Cooking - All Facilities,1,1
1996,6,6,Cooking - All Facilities,1,1
1997,6,6,Cooking - All Facilities,1,1
1998,3,3,Cooking - Hob,4,1
1999,6,6,Cooking - All Facilities,1,1
2000,6,6,Cooking - All Facilities,1,1
2001,2,2,Cooking - Kettle,3,1
2001,4,4,Non-Cook - NFA,5,1
2002,1,1,Cooking - Microwave,2,1
2002,2,2,Cooking - Kettle,3,1
2003,6,6,Cooking - All Facilities,1,1
2004,6,6,Cooking - All Facilities,1,1
2005,6,6,Cooking - All Facilities,1,1
2006,6,6,Cooking - All Facilities,1,1
2007,4,4,Non-Cook - NFA,5,1
2007,6,6,Cooking - All Facilities,1,1
2008,6,6,Cooking - All Facilities,1,1
2009,6,6,Cooking - All Facilities,1,1
2010,6,6,Cooking - All Facilities,1,1
2011,6,6,Cooking - All Facilities,1,1
2012,5,5,Non-Cook - Non-cook at home,6,1
