2004,2,2,Halal,3,1
2004,3,3,Can eat Fish,8,1
2013,5,5,Gluten Intolerant/coeliac,5,1
2013,9,9,Nut Allergy,7,1
2014,9,9,Nut Allergy,7,1
2017,6,6,Other Dietary Requirement,10,1
2021,1,1,Vegetarian,1,1
2021,2,2,Halal,3,1
2021,3,3,Can eat Fish,8,1
2034,4,4,Diabetic,4,1
2036,8,8,No Pork,9,1
2037,2,2,Halal,3,1
2059,8,8,No Pork,9,1
2060,4,4,Diabetic,4,1
2063,4,4,Diabetic,4,1
2075,2,2,Halal,3,1
2075,3,3,Can eat Fish,8,1
2090,8,8,No Pork,9,1
2093,4,4,Diabetic,4,1
2101,1,1,Vegetarian,1,1
2103,4,4,Diabetic,4,1
2110,2,2,Halal,3,1
2110,3,3,Can eat Fish,8,1
2134,1,1,Vegetarian,1,1
2138,1,1,Vegetarian,1,1
2138,2,2,Halal,3,1
2155,2,2,Halal,3,1
2155,3,3,Can eat Fish,8,1
2156,3,3,Can eat Fish,8,1
2178,4,4,Diabetic,4,1
2180,8,8,No Pork,9,1
2183,8,8,No Pork,9,1
2235,8,8,No Pork,9,1
2238,9,9,Nut Allergy,7,1
2247,4,4,Diabetic,4,1
2248,2,2,Halal,3,1
2248,3,3,Can eat Fish,8,1
2257,1,1,Vegetarian,1,1
2275,6,6,Other Dietary Requirement,10,1
2275,8,8,No Pork,9,1
2292,2,2,Halal,3,1
2294,2,2,Halal,3,1
2305,3,3,Can eat Fish,8,1
2305,8,8,No Pork,9,1
2306,4,4,Diabetic,4,1
2310,8,8,No Pork,9,1
2315,4,4,Diabetic,4,1
2316,4,4,Diabetic,4,1
2319,1,1,Vegetarian,1,1
2328,2,2,Halal,3,1
2328,3,3,Can eat Fish,8,1
2329,9,9,Nut Allergy,7,1
2333,4,4,Diabetic,4,1
2338,1,1,Vegetarian,1,1
2343,9,9,Nut Allergy,7,1
2349,2,2,Halal,3,1
2349,3,3,Can eat Fish,8,1
